model,task,cohort,metric,n,n_positive,ours,baseline,difference,p_raw,test,delong_variance,p_holm105,p_holm3780,p_holm19_conditional,p_holm684_conditional,significant_raw,significant_holm105,significant_holm3780,significant_holm19_conditional,significant_holm684_conditional
Gradient boosting,1p/19q,Xijing,roc_auc,59,5,0.94814814814814807,0.8925925925925926,0.055555555555555469,0.14489328149724123,paired DeLong,0.0027542252245257117,1,1,0.49785030837531224,1,False,False,False,False,False
Hist. gradient boosting,Grade,Development OOF,accuracy,784,521,0.8392857142857143,0.62627551020408168,0.21301020408163263,1.0970640145518966e-24,exact McNemar,,1.1190052948429346e-22,3.9505275164013795e-21,1.8650088247382241e-23,7.0760628938597332e-22,True,True,True,True,True
Hist. gradient boosting,Grade,Development OOF,f1,784,521,0.87272727272727268,0.69383490073145249,0.1788923719958202,7.710428649478496e-23,exact paired swap,,7.7875329359732811e-21,2.7310338276452832e-19,1.2336685839165594e-21,4.8035970486251027e-20,True,True,True,True,True
Hist. gradient boosting,Grade,Development OOF,mcc,784,521,0.66306000754319727,0.22978308200184769,0.43327692554134956,1.0974814999838334e-25,exact paired swap,,1.0974814999838333e-23,3.9805654004413637e-22,1.8657185499725169e-24,7.122654934895078e-23,True,True,True,True,True
Hist. gradient boosting,Grade,Development OOF,roc_auc,784,521,0.91483911460119827,0.70665508710216529,0.20818402749903298,5.13079697867392e-26,paired DeLong,0.00039433309697925305,4.4124854016595712e-24,1.8655577814458373e-22,8.209275165878272e-25,3.3350180361380478e-23,True,True,True,True,True
Hist. gradient boosting,IDH,Development OOF,accuracy,1355,281,0.89446494464944648,0.76605166051660512,0.12841328413284137,1.0523033068245037e-23,exact McNemar,,7.8922748011837772e-22,3.7598797152839517e-20,1.6836852909192059e-22,6.650556899130863e-21,True,True,True,True,True
Hist. gradient boosting,IDH,Development OOF,f1,1355,281,0.77265500794912556,0.57563587684069617,0.19701913110842939,1.0611811597603154e-20,exact paired swap,,7.8527405822263336e-19,3.6918492548061373e-17,1.37953550768841e-19,6.3883105817570986e-18,True,True,True,True,True
Hist. gradient boosting,IDH,Development OOF,mcc,1355,281,0.71178394409360823,0.45357421933233638,0.25820972476127185,7.9017134706886643e-20,exact paired swap,,5.7682508336027247e-18,2.7173992625698316e-16,1.0272227511895264e-18,4.709421228530444e-17,True,True,True,True,True
Hist. gradient boosting,IDH,Development OOF,roc_auc,1355,281,0.94594988634631572,0.83563291516729954,0.11031697117901618,1.7962329139337375e-17,paired DeLong,0.00017143299877701672,1.3651370145896405e-15,5.9688819730018092e-14,2.6943493709006061e-16,1.0490000217373027e-14,True,True,True,True,True
Hist. gradient boosting,1p/19q,Development OOF,accuracy,571,90,0.79684763572679507,0.63222416812609461,0.16462346760070046,3.6312787679413948e-12,exact McNemar,,3.413402041864911e-10,1.0483501803046807e-08,5.8100460287062316e-11,1.8737398442577599e-09,True,True,True,True,True
Hist. gradient boosting,1p/19q,Development OOF,f1,571,90,0.546875,0.36746987951807231,0.17940512048192769,1.2346960478983355e-07,exact paired swap,,1.0371446802346018e-05,0.00028978316244173937,1.7285744670576697e-06,4.9881720335092755e-05,True,True,True,True,True
Hist. gradient boosting,1p/19q,Development OOF,mcc,571,90,0.46396530023727411,0.22230250922551623,0.24166279101175789,1.1037357128650797e-06,exact paired swap,,8.8298857029206379e-05,0.0024238036254517151,1.5452299980111115e-05,0.00040838221376007951,True,True,True,True,True
Hist. gradient boosting,1p/19q,Development OOF,roc_auc,571,90,0.85162855162855167,0.74917994917994912,0.10244860244860254,0.00019673012926268348,paired DeLong,0.00083544684675807153,0.010208518015482294,0.32322760237858894,0.00059019038778805046,0.049379262444933555,True,True,False,True,True
Hist. gradient boosting,Grade,UCSF,accuracy,495,396,0.87272727272727268,0.55151515151515151,0.32121212121212117,2.2430460046373814e-29,exact McNemar,,2.3103373847765028e-27,8.2925410791443994e-26,3.8131782078835485e-28,1.4961116850931333e-26,True,True,True,True,True
Hist. gradient boosting,Grade,UCSF,f1,495,396,0.91520861372812923,0.6384364820846905,0.27677213164343872,5.8375402370420591e-30,exact paired swap,,6.0126664441533206e-28,2.1645599198951955e-26,9.9238184029715004e-29,3.8994768783440952e-27,True,True,True,True,True
Hist. gradient boosting,Grade,UCSF,mcc,495,396,0.68838120352133136,0.21974835286849032,0.46863285065284105,4.6687919257376584e-24,exact paired swap,,4.7621677642524112e-22,1.6732950261843769e-20,8.4038254663277846e-23,2.9740204566948883e-21,True,True,True,True,True
Hist. gradient boosting,Grade,UCSF,roc_auc,495,396,0.95464748495051532,0.71056524844403635,0.24408223650647898,1.8798334041670834e-15,paired DeLong,0.00096367345270512812,1.7294467318337167e-13,5.9496727241888189e-12,3.3837001275007502e-14,1.0583462065460679e-12,True,True,True,True,True
Hist. gradient boosting,IDH,UCSF,accuracy,495,103,0.92525252525252522,0.73333333333333328,0.19191919191919193,2.5813504245962688e-18,exact McNemar,,2.1167073481689403e-16,8.6991509308894265e-15,4.1301606793540301e-17,1.5229967505117986e-15,True,True,True,True,True
Hist. gradient boosting,IDH,UCSF,f1,495,103,0.82790697674418601,0.49618320610687022,0.33172377063731578,4.8042746590311838e-17,exact paired swap,,4.0355907135861945e-15,1.5844497825484845e-13,8.1672669203530123e-16,2.7864793022380867e-14,True,True,True,True,True
Hist. gradient boosting,IDH,UCSF,mcc,495,103,0.78138872056826103,0.34015139999689908,0.44123732057136195,4.8042746590355522e-17,exact paired swap,,4.2277616999512858e-15,1.5844497825484845e-13,8.1672669203604385e-16,2.7864793022380867e-14,True,True,True,True,True
Hist. gradient boosting,IDH,UCSF,roc_auc,495,103,0.95321478105805435,0.75369031107588669,0.19952446998216766,4.1648364792502253e-13,paired DeLong,0.00077749574607205831,3.3318691834001804e-11,1.2377894016331669e-09,5.4142874230252926e-12,2.2073633340026195e-10,True,True,True,True,True
Hist. gradient boosting,1p/19q,UCSF,accuracy,404,15,0.84653465346534651,0.62376237623762376,0.22277227722772275,2.7984665361329293e-16,exact McNemar,,2.014895906015709e-14,9.0502407778538929e-13,1.6790799216797575e-15,1.6007228586680355e-13,True,True,True,True,True
Hist. gradient boosting,1p/19q,UCSF,f1,404,15,0.26190476190476192,0.10588235294117647,0.15602240896358543,3.4224385753792006e-12,exact paired swap,,3.1828678751026568e-10,9.8840026056951321e-09,4.1069262904550409e-11,1.7708614355754517e-09,True,True,True,True,True
Hist. gradient boosting,1p/19q,UCSF,mcc,404,15,0.2935348174107989,0.087360827451363074,0.20617398995943581,3.3971986202898907e-09,exact paired swap,,3.3292546478840928e-07,8.7036228651826993e-06,5.0957979304348363e-08,1.5321365777507407e-06,True,True,True,True,True
